Route_No,DEVICE_ID,vehicle_no,schedule_name,SIM_NUMBER
60A,150220792,KA01F9457,60A/12-Week Days,9987782140
43B,150219921,KA01FA1798,43B/7-All Days,9987792470
10J,150218283,KA50F0071,10J/1-All Days,9987866250
45K,150220618,KA57F1521,45K/1-All Days,9987781337
410FA,150219755,KA57F1584,410FA/3-All Days,9987792781
K-1,150219676,KA01F4568,K-1/6-All Days,9987899744
MBS-17,150221360,KA01F4833,MBS-17/2-Holiday,9987899787
401M,150813202,KA01FA0270,401M/2-All Days,9967492549
V-335E,150220176,KA01FA1570,V-335E/56-All Days,9987862768
V-335EK,150220506,KA01FA1749,V-335EK/12-All Days,9987863210
V-500CN,150218407,KA01FA1951,V-500CN/1-All Days,9987889383
V-500D,150221706,KA57F0846,V-500D/15-Holiday,8828031172
V-500CK,150222069,KA01FA1763,V-500CK/3-All Days,8828031307
V-195,150810209,KA01F3918,V-195/5-All Days,9987898101
V-356P,150812982,KA01F4520,V-356P/3-All Days,9987893498
V-333T,150810985,KA01F8821,V-333T/4-All Days,9987896386
V-319CT,150811004,KA01F9500,V-319CT/5-Holiday,9987887851
V-335E,150810464,KA01FA0306,V-335E/26-All Days,9987897199
V-335E,150813000,KA01FA0584,V-335E/18-Holiday,9987893850
V-335EP,150812784,KA01FA1369,V-335EP/9-All Days,9987893568
V-356C,150813120,KA01FA1761,V-356C/14-All Days,9987894730
V-333W,150810917,KA01F9121,V-333W/5-Week Days,9987897342
401K,150222752,KA01F9509,401K/40-All Days,9987799620
15E,150219839,KA01FA0488,15E/5-All Days,9967517119
227M,150218677,KA01FA0426,227M/1-All Days,9987891669
AS-12,150813538,KA01F2343,AS-12/1-All Days,9967462857
254C,150219029,KA50F191,254C/1-All Days,9987785488
K-5,150219751,KA57F0662,K-5/10-All Days,9987875137
210P,150218018,KA01F3280,210P/10-All Days,9987874703
TR-12,150222883,KA01FA0044,TR-12/9-All Days,9987821860
36F,150222985,KA01FA0396,36F/2-All Days,9987821497
214,150220620,KA01FA0672,214/1-All Days,9987874701
